"School Year",State,"File Spec","Data Group","Reporting Level","Data Note","State Note"
"2021-2022,2020-2021,2019-2020,2018-2019","ALL STATES",195,814,"LEA,SCH,SEA","Data for FS195/DG814 are reported at the school level. For ED Data Express, the Department has aggregated the data to the LEA and SEA level for user convenience. Aggregated data are impacted by quality issues in the source data, which, in this case, are the school level. Also, student counts may be duplicative. Students are reported in each school in which they are enrolled and absent 10% or more school days during the school year. As a result, students who are defined and reported as chronically absent at more than one school in a given school year will be counted more than once when aggregated up to the LEA, SEA, and national levels.","The state notes in all sections of ED Data Express reflect the views of the state only and do no necessarily reflect compliance with requirements or consistency with reporting instructions."
"2021-2022,2020-2021,2019-2020,2018-2019","ALL STATES",195,814,"LEA,SCH,SEA","The school-level data for FS195/DG814 are privacy protected via perturbation. The data are protected by adding or subtracting one student for cell sizes less than or equal to four and random data swapping for cell sizes less than or equal to three.","The state notes in all sections of ED Data Express reflect the views of the state only and do not necessarily reflect compliance with requirements or consistency with reporting instructions."
"2020-2021,2019-2020","ALL STATES",195,814,"LEA,SCH,SEA","The Department urges abundant caution when using the data and recommends reviewing the other relevant data notes and state comments prior to use or interpretation. In SY2019-2020 and 2020-2021, SEAs were given the flexibility to report Chronic Absenteeism data using a different definition than in previous years. Therefore, data are not comparable across years. For more information on how states were advised to report Chronic Absenteeism and other data, please go to state data websites for additional information on how definitions and reporting may have changed due to COVID-19, and review the Department's fact sheet on reporting data (<a href=""https://oese.ed.gov/files/2020/12/SY-19-20-COVID-Fact-Sheet-Final-11.19.20.doc"">https://oese.ed.gov/files/2020/12/SY-19-20-COVID-Fact-Sheet-Final-11.19.20.doc</a>).","The state notes in all sections of ED Data Express reflect the views of the state only and do not necessarily reflect compliance with requirements or consistency with reporting instructions."
2019-2020,"ALL STATES",195,814,"LEA,SCH,SEA","Due to altered school operations as a result of COVID-19, absenteeism data may be impacted by variability in LEA capacity to track attendance accurately. This data may not accurately represent the actual chronic absenteeism numbers in SY 2019-20.",
2019-2020,ALABAMA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -42% different from the number of students identified as chronically absent in in the prior year.","This difference is due to the way that absences were recorded during the COVID shutdown."
2019-2020,ALABAMA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -38% different from the number of English learners identified as chronically absent in the prior year.","This difference is due to the way that absences were recorded during the COVID shutdown."
2019-2020,ALASKA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -39% different from the number of students identified as chronically absent in in the prior year.","The most likely reason for the reduction is that in March of 2020 all Alaskan public school buildings were closed for the remainder of the year and students received remote instruction. During building closures and corresponding remote instruction, schools reported attendance in the same way that attendance is reported for correspondence schools:  every day of membership should be considered a day in attendance. Thus any absences that would have taken place during that two month period were not recorded."
2019-2020,ALASKA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -27% different from the number of English learners identified as chronically absent in the prior year.","The most likely reason for the reduction is that in March of 2020 all Alaskan public school buildings were closed for the remainder of the year and students received remote instruction. During building closures and corresponding remote instruction, schools reported attendance in the same way that attendance is reported for correspondence schools:  every day of membership should be considered a day in attendance. Thus any absences that would have taken place during that two month period were not recorded."
2019-2020,ARIZONA,195,814,"LEA,SCH,SEA","Education Unit Total to Category Set A: The sum of education unit totals across all schools does not equal the sum of Category Set A (Sex (Membership)) across all schools. It is a difference of  less than 1%.","We have a very small number of students for whom either the race or the sex is missing. These students get included in our absenteeism counts, but we cannot include them in this category set."
2019-2020,ARIZONA,195,814,"LEA,SCH,SEA","Category Set C was not submitted for FS195/DG814 at the SCH level.","Arizona does not collect data on the Section 504 status of students."
2019-2020,ARIZONA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is  -33% different from the number of students identified as chronically absent in in the prior year.","COVID 19 affected the way AZ schools took attendance with the March shut down.  Essentially schools did not have a system to take attendance remotely so functionally they ceased taking attendance. AZ did not change it definition of chronically absent students. This resulted in fewer students identified as chronically absent"
2019-2020,ARIZONA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -36.7 different from the number of English learners identified as chronically absent in the prior year.","COVID 19 affected the way AZ schools took attendance with the March shut down.  Essentially schools did not have a system to take attendance remotely so functionally they ceased taking attendance. AZ did not change it definition of chronically absent students. This resulted in fewer students identified as chronically absent"
2019-2020,ARKANSAS,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is 31% different from the number of English learners identified as chronically absent in the prior year.","This can possibily be attributed to the impact of COVID 19 and the variances on how schools entered attendance data."
2019-2020,ARKANSAS,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is  22% different from the number of students identified as chronically absent in in the prior year.","This can possibily be attributed to the impact of COVID 19 and the variances on how schools entered attendance data."
2019-2020,CALIFORNIA,195,814,LEA,"Due to altered school operations as a result of COVID-19, absenteeism data may be impacted by variability in LEA capacity to track attendance accurately. This data may not accurately represent the actual chronic absenteeism numbers in SY 2019-20.",
2019-2020,CALIFORNIA,195,814,"LEA,SCH,SEA","Data were not reported at the School level for FS195. Due to state legislation, California did not submit FS195 on SY2019-2020.",
2019-2020,GEORGIA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is students is -33 % different from the number of students identified as chronically absent in in the prior year.","The data have been validated again and what was submitted by GaDOE is correct based on the data submitted by LEAs. GaDOE cannot provide an empirical answer to explain the trend; however, it is likely the result of COVID-19 and the year-over-year change in how LEAs collected attendance. The percentage absent greater than 10 percent declined, likley as a result of students attending classes virtually from home and the resulting challenges in reporting attendance."
2019-2020,GEORGIA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is  -31 % different from the number of English learners identified as chronically absent in the prior year.","The data have been validated again and what was submitted by GaDOE is correct based on the data submitted by LEAs. GaDOE cannot provide an empirical answer to explain the trend; however, it is likely the result of COVID-19 and the year-over-year change in how LEAs collected attendance. The percentage absent greater than 10 percent declined, likley as a result of students attending classes virtually from home and the resulting challenges in reporting attendance."
2019-2020,ILLINOIS,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -32%  different from the number of students identified as chronically absent in in the prior year.",
